            White Pawn to 6, 4 = -0.571093
            White Bishop to 0, 2 = -0.407937
            White Bishop to 1, 3 = -0.292552
            White Bishop to 2, 4 = -0.25409
            White Bishop to 3, 5 = -0.351618
            White Bishop to 4, 6 = -0.346123
            White Knight to 5, 5 = -0.0603175
            White Knight to 4, 6 = -0.432021
            White Knight to 0, 5 = -0.324603
            White Knight to 2, 5 = -0.0246032
            White Rook to 7, 6 = -0.457937
            White Queen to 4, 6 = -1.12131
            White Queen to 7, 3 = -0.913889
            White Queen to 6, 4 = -0.875427
            White Queen to 5, 5 = -0.896032
        Black Pawn to 4, 4 = -0.0246032
    White Pawn to 7, 5 = -0.0246032
            White Pawn to 3, 4 = -0.755556
            White Pawn to 5, 4 = -1.09194
            White Pawn to 7, 4 = -1.11416
            White Pawn to 7, 5 = -0.997497
            White Pawn to 1, 4 = -1.14237
            White Pawn to 1, 5 = -0.842369
            White Pawn to 3, 5 = -0.64127
            White King to 4, 5 = -1.08452
            White King to 4, 7 = -0.702381
            White Pawn to 0, 4 = -1.11416
            White Pawn to 0, 5 = -0.997497
            White Pawn to 5, 5 = -0.941941
            White Pawn to 2, 4 = -1.14512
            White Pawn to 2, 5 = -0.845116
            White Pawn to 6, 4 = -1.10391
            White Pawn to 6, 5 = -0.842369
            White Knight to 0, 5 = -0.875275
            White Knight to 2, 5 = -0.575275
            White Knight to 5, 5 = -0.575275
            White Knight to 7, 5 = -0.875275
            White Queen to 4, 7 = -1.62527
        Black Pawn to 4, 4 = -0.575275
    White King to 4, 6 = -0.575275
            White Pawn to 3, 4 = -0.482662
            White Pawn to 6, 5 = -0.169475
            White Pawn to 7, 4 = -0.44127
            White Pawn to 7, 5 = -0.324603
            White Pawn to 3, 5 = -0.283761
            White Pawn to 1, 4 = -0.469475
            White Pawn to 1, 5 = -0.169475
            White Pawn to 5, 4 = -0.819048
            White Pawn to 5, 5 = -0.504762
            White Pawn to 2, 4 = -0.549145
            White Pawn to 2, 5 = -0.172222
            White Pawn to 6, 4 = -0.448871
            White King to 4, 6 = -0.875275
            White Bishop to 0, 2 = -0.285714
            White Knight to 1, 3 = -0.557509
            White Knight to 1, 7 = -0.702381
            White Knight to 2, 4 = -0.395971
            White Knight to 4, 6 = -0.309799
            White Knight to 7, 5 = -0.202381
            White Knight to 5, 5 = 0.0619048
            White Bishop to 4, 6 = -0.223901
            White Bishop to 3, 5 = -0.562729
            White Bishop to 2, 4 = -0.131868
            White Bishop to 1, 3 = -0.17033
            White Rook to 1, 7 = -0.335714
